-3.70 	 342.30 	-8.84 
-3.47 	 133.10 	-7.43 
-3.05 	 146.20 	-6.87 
-3.01 	 182.17 	-8.51 
-3.01 	 182.17 	-8.18 
-3.01 	 182.17 	-8.16 
-3.01 	 182.17 	-7.92 
-3.01 	 182.17 	-7.77 
-2.90 	 155.20 	-7.82 
-2.11 	 60.60 	-7.39 
-2.00 	 584.60 	-9.66 
-1.38 	 18.00 	-7.26 
-1.38 	 18.00 	-7.08 
-1.38 	 18.00 	-6.86 
-1.38 	 18.00 	-6.56 
-1.38 	 18.00 	-6.41 
-1.38 	 18.00 	-6.37 
-1.38 	 18.00 	-6.36 
-1.38 	 18.00 	-6.36 
-1.38 	 18.00 	-6.32 
-1.38 	 18.01 	-6.80 
-1.38 	 18.01 	-6.72 
-1.38 	 18.01 	-6.71 
-1.38 	 18.01 	-6.68 
-1.38 	 18.01 	-6.60 
-1.38 	 18.01 	-6.48 
-1.38 	 18.01 	-6.43 
-1.38 	 18.01 	-6.42 
-1.28 	 134.13 	-8.30 
-0.92 	 90.12 	-7.47 
-0.92 	 90.12 	-7.86 
-0.89 	 130.08 	-6.82 
-0.77 	 32.00 	-6.38 
-0.77 	 32.00 	-6.56 
-0.77 	 32.04 	-6.35 
-0.32 	 90.10 	-6.68 
-0.31 	 46.07 	-7.06 
-0.31 	 46.10 	-6.17 
-0.31 	 46.10 	-6.56 
-0.30 	 108.10 	-6.98 
-0.22 	 61.83 	-7.48 
-0.22 	 61.83 	-7.09 
-0.22 	 61.83 	-6.86 
-0.07 	 194.00 	-7.08 
-0.07 	 194.20 	-7.14 
-0.07 	 194.20 	-6.35 
 0.15 	 108.10 	-6.70 
 0.25 	 60.10 	-6.48 
 0.25 	 60.10 	-5.91 
 0.25 	 60.10 	-6.33 
 0.29 	 72.11 	-5.90 
 0.36 	 123.11 	-8.18 
 0.37 	 199.30 	-7.45 
 0.43 	 211.18 	-7.13 
 0.53 	 153.10 	-6.66 
 0.65 	 184.20 	-7.51 
 0.70 	 73.14 	-6.26 
 0.70 	 73.14 	-5.95 
 0.79 	 88.11 	-6.56 
 0.80 	 110.10 	-6.70 
 0.83 	 137.14 	-6.07 
 0.83 	 137.14 	-6.02 
 0.83 	 137.14 	-5.97 
 0.85 	 142.60 	-6.54 
 0.88 	 74.10 	-6.21 
 0.88 	 74.10 	-6.08 
 0.88 	 74.14 	-5.70 
 0.89 	 74.10 	-5.36 
 0.89 	 285.30 	-7.81 
 0.90 	 93.10 	-5.21 
 0.93 	 287.36 	-8.38 
 0.96 	 154.10 	-6.11 
 0.98 	 303.40 	-7.86 
 1.08 	 360.40 	-7.86 
 1.08 	 360.40 	-7.79 
 1.10 	 108.10 	-5.78 
 1.10 	 108.10 	-5.33 
 1.13 	 165.20 	-5.78 
 1.17 	 162.23 	-6.04 
 1.17 	 162.23 	-5.54 
 1.17 	 162.30 	-5.28 
 1.19 	 180.16 	-5.70 
 1.19 	 299.40 	-7.09 
 1.26 	 154.10 	-6.74 
 1.32 	 151.17 	-5.77 
 1.32 	 151.17 	-5.74 
 1.36 	 122.20 	-5.44 
 1.39 	 102.13 	-6.26 
 1.39 	 146.15 	-5.60 
 1.39 	 146.15 	-5.46 
 1.43 	 461.60 	-8.14 
 1.46 	 94.10 	-5.64 
 1.46 	 94.10 	-5.44 
 1.46 	 94.10 	-5.27 
 1.47 	 232.20 	-6.89 
 1.48 	 106.10 	-4.77 
 1.48 	 106.10 	-4.41 
 1.51 	 88.20 	-5.78 
 1.60 	 285.30 	-7.63 
 1.61 	 362.50 	-8.35 
 1.61 	 362.50 	-7.48 
 1.61 	 362.50 	-7.19 
 1.62 	 227.09 	-5.51 
 1.73 	 212.40 	-7.27 
 1.83 	 289.38 	-7.68 
 1.83 	 392.50 	-7.75 
 1.85 	 764.92 	-8.44 
 1.87 	 122.10 	-5.16 
 1.89 	 462.50 	-6.76 
 1.91 	 139.10 	-5.81 
 1.92 	 116.16 	-5.41 
 1.94 	 108.10 	-5.31 
 1.94 	 346.50 	-7.56 
 1.94 	 346.50 	-7.08 
 1.94 	 346.50 	-6.81 
 1.95 	 108.10 	-5.36 
 1.96 	 108.10 	-5.38 
 1.96 	 152.10 	-5.60 
 1.97 	 119.38 	-5.35 
 2.00 	 139.11 	-5.81 
 2.03 	 102.20 	-5.44 
 2.03 	 102.20 	-5.26 
 2.03 	 102.20 	-5.11 
 2.03 	 489.60 	-7.72 
 2.07 	 226.30 	-6.20 
 2.08 	 129.20 	-5.33 
 2.11 	 108.10 	-4.69 
 2.13 	 78.10 	-4.51 
 2.13 	 78.10 	-4.35 
 2.15 	 128.60 	-5.04 
 2.18 	 352.77 	-6.44 
 2.18 	 352.77 	-6.27 
 2.26 	 138.10 	-5.76 
 2.26 	 138.10 	-5.07 
 2.26 	 138.12 	-5.48 
 2.26 	 138.12 	-5.44 
 2.26 	 138.12 	-5.42 
 2.27 	 179.22 	-5.34 
 2.30 	 122.10 	-5.00 
 2.30 	 503.64 	-6.61 
 2.31 	 116.20 	-5.05 
 2.31 	 116.20 	-4.98 
 2.39 	 128.56 	-5.00 
 2.40 	 213.24 	-5.35 
 2.42 	 130.19 	-5.26 
 2.44 	 234.30 	-5.96 
 2.49 	 133.40 	-5.90 
 2.58 	 122.20 	-5.02 
 2.59 	 173.01 	-5.00 
 2.60 	 476.57 	-7.23 
 2.70 	 144.20 	-5.15 
 2.70 	 144.20 	-5.11 
 2.72 	 247.40 	-5.99 
 2.73 	 92.14 	-3.56 
 2.79 	 411.50 	-6.00 
 2.79 	 476.60 	-6.60 
 2.80 	 418.50 	-6.02 
 2.95 	 104.10 	-3.74 
 3.00 	 130.20 	-4.84 
 3.00 	 130.20 	-4.51 
 3.00 	 130.23 	-4.77 
 3.05 	 144.21 	-5.16 
 3.06 	 163.00 	-4.78 
 3.06 	 331.40 	-7.37 
 3.10 	 142.58 	-4.82 
 3.15 	 106.17 	-3.48 
 3.18 	 230.27 	-6.10 
 3.18 	 230.30 	-6.95 
 3.18 	 230.30 	-4.97 
 3.19 	 494.60 	-6.33 
 3.26 	 503.60 	-6.30 
 3.27 	 156.60 	-4.83 
 3.30 	 150.20 	-4.84 
 3.32 	 288.40 	-6.21 
 3.32 	 288.40 	-5.83 
 3.32 	 288.40 	-5.48 
 3.32 	 288.40 	-4.95 
 3.38 	 274.80 	-6.22 
 3.48 	 257.34 	-6.48 
 3.48 	 257.34 	-6.33 
 3.51 	 207.27 	-5.30 
 3.69 	 197.50 	-4.78 
 3.70 	 518.65 	-5.82 
 3.77 	 144.30 	-4.78 
 3.87 	 314.50 	-5.43 
 3.87 	 314.50 	-5.08 
 3.95 	 386.60 	-5.48 
 3.97 	 206.28 	-5.00 
 4.01 	 272.40 	-6.08 
 4.01 	 272.40 	-6.05 
 4.01 	 272.40 	-6.02 
 4.01 	 272.40 	-6.01 
 4.01 	 272.40 	-5.97 
 4.01 	 272.40 	-5.95 
 4.01 	 272.40 	-5.94 
 4.01 	 272.40 	-5.94 
 4.01 	 272.40 	-5.84 
 4.01 	 272.40 	-5.82 
 4.01 	 272.40 	-5.77 
 4.05 	 336.50 	-5.81 
 4.05 	 336.50 	-5.56 
 4.27 	 357.80 	-5.39 
 4.48 	 460.60 	-5.30 
 4.51 	 296.16 	-6.56 
 4.51 	 296.16 	-5.30 
 4.57 	 158.30 	-4.65 
 4.57 	 158.30 	-4.30 
 5.49 	 488.70 	-4.76 
